Model,sent_acc,sent_prec,sent_rec,sent_f1,pol_acc,pol_prec,pol_rec,pol_f1,macro_f1_avg,runtime,training_time,total_time
mBERT,0.90153,0.903125,0.90578,0.904442,0.868367,0.86542,0.87215,0.868765,0.886604,4.2996,1.9h 52m,1.9h 55m
XLM-R,0.915816,0.918235,0.920156,0.919143,0.885204,0.882145,0.88785,0.88492,0.902032,4.423,2.5h 30m,5.4h 27m
RemBERT,0.908163,0.91058,0.912345,0.911453,0.87551,0.873285,0.87892,0.876085,0.893769,16.8042,9.5h 31m,10.6h 35m
